Station Name,RoadSurfaceTemperature,AirTemperature
AlbroPlaceAirportWay,84.3,80.1
SpokaneSwingBridge,97.8,78.28
SpokaneSwingBridge,97.8,78.16
SpokaneSwingBridge,97.9,78.08
SpokaneSwingBridge,97.9,78.11
SpokaneSwingBridge,98,78.07
SpokaneSwingBridge,98.1,78.07
SpokaneSwingBridge,98.1,78.18
SpokaneSwingBridge,98.2,78.33
SpokaneSwingBridge,98.3,78.37
SpokaneSwingBridge,98.3,78.4
AlbroPlaceAirportWay,92.6,80.1
AlbroPlaceAirportWay,92.6,79.96
AlbroPlaceAirportWay,92.6,79.88
AlbroPlaceAirportWay,92.6,79.81
AlbroPlaceAirportWay,92.6,79.66
AlbroPlaceAirportWay,92.6,79.5
AlbroPlaceAirportWay,92.6,79.37
AlbroPlaceAirportWay,92.6,79.25
AlbroPlaceAirportWay,92.6,79.15
AlbroPlaceAirportWay,92.6,79.06
AlbroPlaceAirportWay,92.6,78.95
AlbroPlaceAirportWay,92.6,78.85
AlbroPlaceAirportWay,92.5,78.79
AlbroPlaceAirportWay,92.5,78.68
AlbroPlaceAirportWay,92.5,78.58
HarborAveUpperNorthBridge,89.3,78.73
HarborAveUpperNorthBridge,89.3,78.58
HarborAveUpperNorthBridge,89.2,78.49
HarborAveUpperNorthBridge,89.2,78.37
HarborAveUpperNorthBridge,89.1,78.27
HarborAveUpperNorthBridge,89.1,78.06
HarborAveUpperNorthBridge,89,77.86
HarborAveUpperNorthBridge,89,77.77
HarborAveUpperNorthBridge,88.9,77.6
HarborAveUpperNorthBridge,88.9,77.45
HarborAveUpperNorthBridge,88.8,77.32
HarborAveUpperNorthBridge,88.8,77.21
HarborAveUpperNorthBridge,88.7,77.13
HarborAveUpperNorthBridge,88.7,77.08
HarborAveUpperNorthBridge,88.6,77.03
RooseveltWay_NE80thSt,82.7,82.7
RooseveltWay_NE80thSt,82.7,82.7
RooseveltWay_NE80thSt,82.6,82.6
RooseveltWay_NE80thSt,82.6,82.6
RooseveltWay_NE80thSt,82.5,82.5
RooseveltWay_NE80thSt,82.5,82.5
RooseveltWay_NE80thSt,82.5,82.5
RooseveltWay_NE80thSt,82.5,82.5
RooseveltWay_NE80thSt,82.4,82.4
RooseveltWay_NE80thSt,82.4,82.4
RooseveltWay_NE80thSt,82.4,82.4
RooseveltWay_NE80thSt,82.3,82.3
RooseveltWay_NE80thSt,82.3,82.3
RooseveltWay_NE80thSt,82.3,82.3
RooseveltWay_NE80thSt,82.2,82.2
MagnoliaBridge,85.9,76.04
MagnoliaBridge,85.8,76.07
MagnoliaBridge,85.8,76.14
MagnoliaBridge,85.7,76.2
MagnoliaBridge,85.7,76.31
MagnoliaBridge,85.6,76.43
MagnoliaBridge,85.6,76.49
MagnoliaBridge,85.6,76.5
MagnoliaBridge,85.5,76.53
MagnoliaBridge,85.4,76.55
MagnoliaBridge,85.4,76.55
MagnoliaBridge,85.4,76.54
MagnoliaBridge,85.3,76.5
MagnoliaBridge,85.3,76.44
MagnoliaBridge,85.2,76.39
SpokaneSwingBridge,89.2,78.49
SpokaneSwingBridge,89.2,78.37
SpokaneSwingBridge,89.1,78.27
SpokaneSwingBridge,89.1,78.06
SpokaneSwingBridge,89,77.86
SpokaneSwingBridge,89,77.77
SpokaneSwingBridge,88.9,77.6
SpokaneSwingBridge,88.9,77.45
SpokaneSwingBridge,88.8,77.32
SpokaneSwingBridge,88.8,77.21
SpokaneSwingBridge,88.7,77.13
SpokaneSwingBridge,88.7,77.08
SpokaneSwingBridge,88.6,77.03
SpokaneSwingBridge,88.6,76.97
SpokaneSwingBridge,88.5,76.9
AlbroPlaceAirportWay,92.6,78.95
AlbroPlaceAirportWay,92.6,78.85
AlbroPlaceAirportWay,92.5,78.79
AlbroPlaceAirportWay,92.5,78.68
AlbroPlaceAirportWay,92.5,78.58
AlbroPlaceAirportWay,92.5,78.48
AlbroPlaceAirportWay,92.5,78.33
AlbroPlaceAirportWay,92.5,78.24
AlbroPlaceAirportWay,92.5,78.15
AlbroPlaceAirportWay,92.5,78.13
AlbroPlaceAirportWay,92.5,78.13
AlbroPlaceAirportWay,92.4,78.08
AlbroPlaceAirportWay,92.4,78.08
AlbroPlaceAirportWay,92.4,78.08
AlbroPlaceAirportWay,92.4,78.03
RooseveltWay_NE80thSt,82.4,82.4
RooseveltWay_NE80thSt,82.3,82.3
RooseveltWay_NE80thSt,82.3,82.3
RooseveltWay_NE80thSt,82.3,82.3
RooseveltWay_NE80thSt,82.2,82.2
RooseveltWay_NE80thSt,82.2,82.2
RooseveltWay_NE80thSt,82.2,82.2
RooseveltWay_NE80thSt,82.2,82.2
RooseveltWay_NE80thSt,82.1,82.1
AlbroPlaceAirportWay,81.4,70.07
AlbroPlaceAirportWay,81.4,70.12
AlbroPlaceAirportWay,81.3,70.11
AlbroPlaceAirportWay,81.3,70.2
AlbroPlaceAirportWay,81.3,70.27
AlbroPlaceAirportWay,81.3,70.45
AlbroPlaceAirportWay,81.3,70.69
AlbroPlaceAirportWay,81.3,70.9
AlbroPlaceAirportWay,81.3,71.05
AlbroPlaceAirportWay,81.3,71.07
AlbroPlaceAirportWay,81.3,71.17
AlbroPlaceAirportWay,81.3,71.3
AlbroPlaceAirportWay,81.3,71.53
AlbroPlaceAirportWay,81.2,71.73
AlbroPlaceAirportWay,81.2,71.77
